gold,prompt,task_name,style
CRIZOTINIB,"For clinical trial NCT01639001. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with C
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient,original
IRINOTECAN HYDROCHLORIDE,"For clinical trial NCT00012389. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with I
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient,original
,"For clinical trial NCT03150875 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date,original
"Jun 26, 2035","First, for clinical trial NCT00090051 among the more effective regimen ingredients, identify which ingredient starts with the letter C.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.",Patent_Expire_Date_Text,original
BRISTOL MYERS SQUIBB,"First, for clinical trial NCT01307605 among the more effective regimen ingredients, identify which ingredient starts with the letter L.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name,original
HOFFMANN LA ROCHE INC,"First, for clinical trial NCT01667419 among the more effective regimen ingredients, identify which ingredient starts with the letter V.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name,original
"Jul 14, 2025","For clinical trial NCT01639001 among the more effective regimen ingredients, identify which ingredient starts with the letter C.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date,original
PEMETREXED DISODIUM,"For clinical trial NCT01469000. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with P
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient,original
FULVESTRANT,"For clinical trial NCT02340221. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with F
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient,original
ZHUHAI BEIHAI BIOTECH CO LTD,"First, for clinical trial NCT01038661 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name,original
BRISTOL MYERS SQUIBB,"First, for clinical trial NCT01938001 among the more effective regimen ingredients, identify which ingredient starts with the letter L.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name,original
,"For clinical trial NCT00262769 among the more effective regimen ingredients, identify which ingredient starts with the letter G.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date,original
FRESENIUS KABI USA LLC,"First, for clinical trial NCT02340221 among the more effective regimen ingredients, identify which ingredient starts with the letter F.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name,original
DOCETAXEL,"For clinical trial NCT01282463. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with D
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient,original
"Feb 13, 2031","For clinical trial NCT00720512 among the more effective regimen ingredients, identify which ingredient starts with the letter I.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.",Exclusivity_Date,original
HORIZON THERAPEUTICS USA INC,"First, for clinical trial NCT00052936 among the more effective regimen ingredients, identify which ingredient starts with the letter P.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.",Applicant_Full_Name,original
CYCLOPHOSPHAMIDE,"For clinical trial NCT00090051. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with C
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name",Ingredient,original
